AuthorIndex,JournalIndex,edgeweight,AuthorLabel,JournalLabel,IsSociologyJournal
31,184,1,"Eberstadt, Nicholas","… . Washington, DC, Korea Economic Institute of …",0
38,120,1,"Haggard, Stephan; Herman, Luke; Ryu, Jaesung",Asian Survey,0
75,120,1,"McEachern, Patrick",Asian Survey,0
82,120,1,"Oh, Kongdan; Hassig, Ralph C.",Asian Survey,0
90,120,1,"Rhee, Kang Suk",Asian Survey,0
32,148,1,"Ericson, Richard E.",Journal of Economic Perspectives,0
33,130,1,"Francisco, Ronald A.",Contemporary Southeast Asia,0
34,160,1,"Geddes, Barbara; Wright, Joseph; Frantz, Erica",Perspectives on Politics,0
35,180,1,"Geifman, Anna",The Oral History Review,0
37,132,1,"Grauvogel, Julia; von Soest, Christian",European Journal of Political Research,0
39,156,1,"Halliday, Jon",New Left Review,0
42,155,1,"Heilmann, Sebastian; Melton, Oliver",Modern China,0
45,154,1,"Hwang, Jaeho",Millennium,0
46,114,1,"Hwang, Kwang-kuo",American Journal of Sociology,1
62,114,1,"Kuran, Timur",American Journal of Sociology,1
47,125,1,"Ishiyama, John",Communist and Post-Communist Studies,0
47,144,1,"Ishiyama, John",Journal of Asian and African Studies,0
48,182,1,"Jeon, Jei Guk",Third World Quarterly,0
49,116,1,"Jesse, Neal",Armed Forces & Society,0
50,137,1,"Jonsson, Petur O.",International Advances in Economic Research,0
51,115,1,"Kihl, Young Whan",American Political Science Review,0
84,115,1,"Packenham, Robert A.",American Political Science Review,0
91,115,1,"Robinson, Jean C.",American Political Science Review,0
52,150,1,"Kim, Heungkyu",Journal of International and Area Studies,0
55,118,1,"Kim, Samuel S.",Asian Perspective,0
61,118,1,"Koh, Byung Chul",Asian Perspective,0
85,118,1,"Park, Han Shik",Asian Perspective,0
100,118,1,"Suh, Dae-Sook",Asian Perspective,0
108,118,1,"Yoon, Dae-Kyu; Yang, Moon-Soo",Asian Perspective,0
56,142,1,"Kim, Sung Chull",Issues & Studies,0
94,153,1,"Sigal, Leon V.",Korean Studies,0
65,177,1,"Lee, Katherine In-Young",The Journal of Korean Studies (1979-),0
66,166,1,"Leung C. K., Hanson",Studies in Comparative Communism,0
67,179,1,"Lipson, Michael",The Nonproliferation Review,0
68,172,1,"Liu, Alan P. L.",The American Political Science Review,0
69,136,1,"Lynn, Hyung-Gu",Global Asia,0
70,127,1,"Mahdavi, Paasha; Ishiyama, John",Comparative Politics,0
71,127,1,"Mahdavi, Paasha; John, Ishiyama",Comparative Politics,0
78,127,1,"Munck, Gerardo L.; Leff, Carol Skalnik",Comparative Politics,0
72,158,1,"Manzocco, Roberto",Nuncius,0
74,159,1,"McCormack, Gavan",Pacific Affairs,0
112,159,1,"lee, Chae-Jin; Scalapino, Robert A.; Kim, Dalchoong",Pacific Affairs,0
77,149,1,"McNEAL, ROBERT H.",Journal of International Affairs,0
80,117,1,"Noland, Marcus",Asian Economic Papers,0
81,147,1,"Noland, Marcus; Robinson, Sherman; Liu, Ligang",Journal of Economic Integration,0
83,165,1,"Oleszczuk, Thomas",Soviet Studies,0
86,140,1,"Putnam, Robert D.",International Organization,1
87,181,1,"Pynsent, R. B.",The Slavonic and East European Review,0
88,124,1,"Pyrcz, Greg",Canadian Journal of Political Science/Revue canadienne de science politique,0
95,173,1,"Skillend, W. E.",The China Quarterly,0
106,173,1,"Wedeman, Andrew",The China Quarterly,0
96,183,1,"Skilling, H. Gordon",World Politics,0
99,139,1,"Strauss, Julia C.",International Labor and Working-Class History,1
102,113,1,"Szelenyi, Ivan",Acta Sociologica,1
103,152,1,"Uhalley, Stephen",Journal of Third World Studies,0
104,138,1,"Vittoz, Stanley","International Journal of Politics, Culture, and Society",0
105,170,1,"Von Bertalanffy, Ludwig",The Academy of Management Journal,0
107,122,1,"Yee, Samuel",Berkeley Undergraduate Journal,0
109,169,1,"Young, Roland",The ANNALS of the American Academy of Political and Social Science,1
110,123,1,"Ziegler, Charles E.",British Journal of Political Science,0
111,133,1,"graziano, luigi",European Political Science,0
