"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"SFPY2BCK","book","2014","Hill, Michael","Policy Process: A Reader","","978-1-317-90344-4","","","","In this new edition of his classic reader, Michael Hill seeks to make the selected extracts reflect a more European outlook on the processess of policy-making and implementation. With reference to the third edition of his popular textbook, The Policy Process in the Modern State, Hill has maintained the thematic approach of the first edition, looking in turn at approaches to policy making in Europe, power, bureaucracy and the State, the rationality/incrememtalism debate, the role of organisational theory in policy implementation, street-level bureaucracy and discretion. Already praised as one of the best readers available in thisfield, Michael Hill's new edition will be even more valued as a reference and teaching resource by students and lecturers alike.","2014-07-15","2022-05-23 09:05:35","2022-05-23 09:05:35","","","454","","","","","Policy Process","","","","","Routledge","","en","","","","","Google Books","","Google-Books-ID: QN4FBAAAQBAJ","","","https://books.google.kz/books?id=QN4FBAAAQBAJ","","Political Science / General; Social Science / Sociology / General","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6A5ZMRIW","book","1871","Creigh, Alfred","History of Washington County: From Its First Settlement to the Present Time : First Under Virginia as Yohogania, Ohio, Or Augusta County Until 1781 : and Subsequently Under Pennsylvania; with Sketches of All the Townships, Boroughs, and Villages, Etc. : and to which is Added a Full Account of the Celebrated Mason and Dixon's Line, the Whiskey Insurrection, Indian Warfare, Traditional and Local Historical Events","","","","","","","1871","2022-05-23 09:04:31","2022-05-23 09:04:31","","","522","","","","","History of Washington County","","","","","B. Singerly, printer","","en","","","","","Google Books","","Google-Books-ID: OrZIAQAAMAAJ","","","https://books.google.kz/books?id=OrZIAQAAMAAJ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZBTJFRH7","journalArticle","1963","Cooke, Jacob E.","THE WHISKEY INSURRECTION: A RE-EVALUATION","Pennsylvania History: A Journal of Mid-Atlantic Studies","","0031-4528","","https://www.jstor.org/stable/27770195","","1963","2022-05-23 09:03:50","2022-05-23 09:03:50","2022-05-23 09:03:50","316-346","","3","30","","","THE WHISKEY INSURRECTION","","","","","","","","","","","","JSTOR","","Publisher: Penn State University Press","","C:\Users\seoul\Zotero\storage\KNTN3R3H\Cooke - 1963 - THE WHISKEY INSURRECTION A RE-EVALUATION.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LFC4PEXE","book","1880","Linn, John Blair; Egle, William Henry","Pennsylvania Archives: Second Series","","","","","","","1880","2022-05-23 09:03:17","2022-05-23 09:03:17","","","824","","","","","Pennsylvania Archives","","","","","State printer","","en","","","","","Google Books","","Google-Books-ID: uBJJAQAAMAAJ","","","https://books.google.kz/books?id=uBJJAQAAMAAJ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IW3JHYRT","journalArticle","1987","Brustein, William; Levi, Margaret","The Geography of Rebellion: Rulers, Rebels, and Regions, 1500 to 1700","Theory and Society","","0304-2421","","https://www.jstor.org/stable/657591","","1987","2022-05-23 09:01:55","2022-05-23 09:01:55","2022-05-23 09:01:55","467-495","","4","16","","","The Geography of Rebellion","","","","","","","","","","","","JSTOR","","Publisher: Springer","","C:\Users\seoul\Zotero\storage\X4P6L727\Brustein 그리고 Levi - 1987 - The Geography of Rebellion Rulers, Rebels, and Re.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AZ5YPK8H","journalArticle","1985","Brustein, William","Class conflict and class collaboration in regional rebellions, 1500 to 1700","Theory and Society","","1573-7853","10.1007/BF00159250","https://doi.org/10.1007/BF00159250","I argue that distinctive regional modes of production entailed divergent configurations of interests and differing degrees of mutual dependence between peasants and landlords. Class-collaborative rebellions correlate highly with a mode of production that makes for cooperative interests and interclass dependence, while class-conflict rebellions correlate highly with a mode of production that makes for antagonistic interests and interclass independence. But class-collaboration was unlikely without a target, which the state provided. Yet the state became the target in subsistence regions where the lack of markets made the raising of tax revenues particularly difficult and where subsistence classes were not dependent on the state for markets and, therefore, had little incentive to cooperate with the state. On the other hand, in regions with a commercial mode of production, raising tax revenues was less burdensome and classes tended to be dependent on the state for markets and, therefore, less likely to engage in antistate collective action.","1985-07-01","2022-05-23 09:01:20","2022-05-23 09:01:20","2022-05-23 09:01:20","445-468","","4","14","","Theor Soc","","","","","","","","en","","","","","Springer Link","","","","","","","Collective Action; Crucial Issue; Mutual Dependence; Regional Mode; Similar Mode","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KICXSACD","webpage","","","Citizenship and Nationhood in France and Germany. By Rogers Brubaker. Cambridge: Harvard University Press, 1992. 270p. $35.00. - Ethnicity and Nationalism in Post-Imperial Britain. By Harry Goulbourne. New York: Cambridge University Press, 1991. 271p. $54.95. - The Frontiers of Citizenship. Edited by Ursula Vogel and Michael Moran. New York: St Martin's, 1991. 210p. $49.95. | American Political Science Review | Cambridge Core","","","","","https://www.cambridge.org/core/journals/american-political-science-review/article/abs/citizenship-and-nationhood-in-france-and-germany-by-rogers-brubaker-cambridge-harvard-university-press-1992-270p-3500-ethnicity-and-nationalism-in-postimperial-britain-by-harry-goulbourne-new-york-cambridge-university-press-1991-271p-5495-the-frontiers-of-citizenship-edited-by-ursula-vogel-and-michael-moran-new-york-st-martins-1991-210p-4995/A0E06FABAA073D48D262ED18CB845718","","","2022-05-23 09:00:13","2022-05-23 09:00:13","2022-05-23 09:00:13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CCSIDRBE","book","1972","Brackenridge, Hugh Henry","Incidents of the Insurrection","","978-0-8084-0015-8","","","","To find more information about Rowman and Littlefield titles, please visit www.rowmanlittlefield.com.","1972","2022-05-23 08:54:16","2022-05-23 08:54:16","","","244","","","","","","","","","","Rowman & Littlefield","","en","","","","","Google Books","","Google-Books-ID: 3JI0TyhToAAC","","","https://books.google.kz/books?id=3JI0TyhToAAC","","History / United States / State & Local / Middle Atlantic (DC, DE, MD, NJ, NY, PA)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N2LGYHPI","book","1988","Brackenridge, Hugh Henry","History of the Western Insurrection in Western Pennsylvania Commonly Called the Whiskey Insurrection","","978-1-55613-139-4","","","","The Whiskey Rebellion took place in western Pennsylvania between July and November of 1794 when the fledgling Federal government set a new excise tax on whiskey to which the local farmers took strong exception by numerous acts of violence. A Pittsburg att","1988","2022-05-23 08:53:50","2022-07-04 03:32:57","","","344","","","","","","","","","","Heritage Books","","en","","","","","Google Books","","","","","https://books.google.kz/books?id=8UKtAztN-vYC","","History / United States / State & Local / Middle Atlantic (DC, DE, MD, NJ, NY, PA)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BBXKVT5E","webpage","2016","","Relations into Rhetorics: Local Elite Structure in Norfolk, England, 1540-1640","American Sociological Association","","","","https://www.asanet.org/relations-rhetorics-local-elite-structure-norfolk-england-1540-1640","","2016-06-01","2022-05-23 08:53:28","2022-05-23 08:53:28","2022-05-23 08:53:28","","","","","","","Relations into Rhetorics","","","","","","","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BTLKEPPY","book","2018","Barkey, Karen","Bandits and Bureaucrats: The Ottoman Route to State Centralization","","978-1-5017-2087-1","","","https://www.degruyter.com/document/doi/10.7591/9781501720871/html","Why did the main challenge to the Ottoman state come not in peasant or elite rebellions, but in endemic banditry? Karen Barkey shows how Turkish strategies of incorporating peasants and rotating elites kept both groups dependent on the state, unable and unwilling to rebel. Bandits, formerly mercenary soldiers, were not interested in rebellion but concentrated on trying to gain state resources, more as rogue clients than as primitive rebels. The state's ability to control and manipulate bandits—through deals, bargains and patronage—suggests imperial strength rather than weakness, she maintains.","2018-10-18","2022-05-23 08:52:42","2022-05-23 08:52:42","2022-05-23 08:52:42","","","","","","","Bandits and Bureaucrats","","","","","Cornell University Press","","en","","","","","www.degruyter.com","","DOI: 10.7591/9781501720871 Publication Title: Bandits and Bureaucrats","","C:\Users\seoul\Zotero\storage\5USDTCS8\Barkey - 2018 - Bandits and Bureaucrats The Ottoman Route to Stat.pdf","","","History; Middle East Studies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T6YDQU88","book","2010","Baldwin, Leland D.","Whiskey Rebels: The Story of a Frontier Uprising","","978-0-8229-9053-6","","","","A succinct account of the Whiskey Rebellion of 1794 in Western Pennsylvania.","2010-01-09","2022-05-23 08:52:06","2022-05-23 08:52:06","","","337","","","","","Whiskey Rebels","","","","","University of Pittsburgh Pre","","en","","","","","Google Books","","Google-Books-ID: 8I4_mYLkVFEC","","","https://books.google.kz/books?id=8I4_mYLkVFEC","","History / General; History / United States / State & Local / Middle Atlantic (DC, DE, MD, NJ, NY, PA)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FYITDIPG","book","1961","Aylmer, Gerald Edward","The King’S Servants: The Civil Service of Charles I 1625–1642","","978-0-231-89493-7","","","https://www.degruyter.com/document/doi/10.7312/aylm93684/html?lang=de","Deals with the officials of the central government under King Charles l from his accession in 1625 up to the eve of the Civil War in 1642.","1961-03-02","2022-05-23 08:51:18","2022-07-04 03:22:59","2022-05-23 08:51:18","","","","","","","The King’S Servants","","","","","Columbia University Press","","en","","","","","www.degruyter.com","","DOI: 10.7312/aylm93684 Publication Title: The King’S Servants","","C:\Users\seoul\Zotero\storage\UJCE2F34\Aylmer - 1961 - The King’S Servants The Civil Service of Charles .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X36432PE","book","2018","Arthur, W. Brian","The Economy As An Evolving Complex System II","","978-0-429-97626-1","","","","A new view of the economy as an evolving, complex system has been pioneered at the Santa Fe Institute over the last ten years, This volume is a collection of articles that shape and define this view?a view of the economy as emerging from the interactions of individual agents whose behavior constantly evolves, whose strategies and actions are always adapting.The traditional framework in economics portrays activity within an equilibrium steady state. The interacting agents in the economy are typically homogenous, solve well-defined problems using perfect rationality, and act within given legal and social structures. The complexity approach, by contrast, sees economic activity as continually changing?continually in process. The interacting agents are typically heterogeneous, they must cognitively interpret the problems they face, and together they create the structures?markets, legal and social institutions, price patters, expectations?to which they individually react. Such structures may never settle down. Agents may forever adapt and explore and evolve their behaviors within structures that continually emerge and change and disappear?structures these behaviors co-create. This complexity approach does not replace the equilibrium one?it complements it.The papers here collected originated at a recent conference at the Santa Fe Institute, which was called to follow up the well-known 1987 SFI conference organized by Philip Anderson, Kenneth Arrow, and David Pines. They survey the new study of complexity and the economy. They apply this approach to real economic problems and they show the extent to which the initial vision of the 1987 conference has come to fruition.","2018-05-04","2022-05-23 08:49:30","2022-05-23 08:49:30","","","428","","","","","","","","","","CRC Press","","en","","","","","Google Books","","Google-Books-ID: 5EpnDwAAQBAJ","","","https://books.google.kz/books?id=5EpnDwAAQBAJ","","Mathematics / General","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MQIKUPW6","book","2013","Anderson, Perry","Lineages of the Absolutist State","","978-1-78168-463-4","","","","Situating the Absolutist states of the early modern epoch against the background of European feudalism.Forty years after its original publication, Lineages of the Absolutist State remains an exemplary achievement in comparative history. Picking up from where its companion volume, Passages from Antiquity to Feudalism, left off, Lineages traces the development of Absolutist states in the early modern period from their roots in European feudalism, and assesses their various trajectories. Why didn’t Italy develop into an Absolutist state in the same, indigenous way as the other dominant Western countries, namely Spain, France and England? On the other hand, how did Eastern European countries develop into Absolutist states similar to those of the West, when their social conditions diverged so drastically? Reflecting on examples in Islamic and East Asian history, as well as the Ottoman Empire, Anderson concludes by elucidating the particular role of European development within universal history.","2013-04-29","2022-05-23 08:48:45","2022-05-23 08:48:45","","","582","","","","","","","","","","Verso Books","","en","","","","","Google Books","","Google-Books-ID: V2vnDwAAQBAJ","","","https://books.google.kz/books?id=V2vnDwAAQBAJ","","History / Europe / General; Political Science / Constitutions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5JT8HKFL","bookSection","1984","Bright, Charles; Harding, Susan","Processes of statemaking and popdar protest: An introduction to SIatemaking and sociul movemenls. eds","Charles Bright and Susan Harding. Rexdale, Canada: John Wiley & Sons Canada","","","","","","1984","2022-05-23 09:17:04","2022-05-23 09:19:06","","","","","","","","Processes of statemaking and popdar protest","","","","","","","","","","","","Google Scholar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ILJVNKSA","journalArticle","1853","Hazard, Samuel","Pennsylvania Colonial Records","Minutes of the Provincial Council","","","","","","1853","2022-05-23 09:23:43","2022-05-23 09:23:43","","1683–1776","","","","","","","","","","","","","","","","","","Google Scholar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MYPRGJSK","book","1971","Hobsbawm, Eric J.","Primitive Rebels: Studies in Archaic Forms of Social Movement in the 19th and 20th Centuries","","978-0-7190-0493-3","","","","Following interviews with contemporaries and eyewitnesses, relatives and friends, and access to documents and archives, Knopp offers a view of what went on behind the scenes in the Third Reich.","1971","2022-05-23 09:28:10","2022-05-23 09:28:10","","","238","","","","","Primitive Rebels","","","","","Manchester University Press","","en","","","","","Google Books","","Google-Books-ID: sCK8AAAAIAAJ","","","https://books.google.kz/books?id=sCK8AAAAIAAJ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LSNZKVQ5","book","1995","Gould, Roger V.","Insurgent Identities: Class, Community, and Protest in Paris from 1848 to the Commune","","978-0-226-30560-8","","","","In this important contribution both to the study of social protest and to French social history, Roger Gould breaks with previous accounts that portray the Paris Commune of 1871 as a continuation of the class struggles of the 1848 Revolution. Focusing on the collective identities framing conflict during these two upheavals and in the intervening period, Gould reveals that while class played a pivotal role in 1848, it was neighborhood solidarity that was the decisive organizing force in 1871.  The difference was due to Baron Haussmann's massive urban renovation projects between 1852 and 1868, which dispersed workers from Paris's center to newly annexed districts on the outskirts of the city. In these areas, residence rather than occupation structured social relations. Drawing on evidence from trail documents, marriage records, reports of police spies, and the popular press, Gould demonstrates that this fundamental rearrangement in the patterns of social life made possible a neighborhood insurgent movement; whereas the insurgents of 1848 fought and died in defense of their status as workers, those in 1871 did so as members of a besieged urban community.  A valuable resource for historians and scholars of social movements, this work shows that collective identities vary with political circumstances but are nevertheless constrained by social networks. Gould extends this argument to make sense of other protest movements and to offer predictions about the dimensions of future social conflict.","1995-12","2022-05-23 09:26:59","2022-05-23 09:26:59","","","272","","","","","Insurgent Identities","","","","","University of Chicago Press","","en","","","","","Google Books","","Google-Books-ID: Fbrf8i0NIu4C","","","https://books.google.kz/books?id=Fbrf8i0NIu4C","","History / Asia / Japan; History / Europe / France; Social Science / General","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CPK2QNGE","journalArticle","1975","Fischer, Wolfram; Lundgreen, Peter","The recruitment and training of administrative and technical personnel","The formation of national states in western Europe","","","","","","1975","2022-05-23 09:26:27","2022-05-23 09:26:27","","456–561","","","","","","","","","","","","","","","","","","Google Scholar","","Publisher: Princeton University Press Princeton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L4IB5DBJ","book","1938","Ferguson, Russell J.","Early Western Pennsylvania Politics","","978-0-8229-7527-4","","","","The conflict between the Jeffersonian and Hamiltonian concepts of democracy was nowhere more vigorous or bitter than in Western Pennsylvania during the period when the region evolved from an agrarian to an industrial economy. This book traces the political aspects of this transformation step by step. The region's long allegiance to Jeffersonianism, was in part due to a group of plodding but shrewd politicians who remained in power until well after the War of 1812, before they were succeded by Hamiltonians. Ferguson profiles the major politicians and political events in the region from Revolutionary War times until the 1820s.","1938-03-15","2022-05-23 09:25:37","2022-05-23 09:25:37","","","328","","","","","","","","","","University of Pittsburgh Pre","","en","","","","","Google Books","","","","","https://books.google.kz/books?id=T-8K89LcOlEC","","History / General; History / United States / State & Local / Middle Atlantic (DC, DE, MD, NJ, NY, PA)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y68AWD73","book","2014","Hill, Michael","Policy Process: A Reader","","978-1-317-90344-4","","","","In this new edition of his classic reader, Michael Hill seeks to make the selected extracts reflect a more European outlook on the processess of policy-making and implementation. With reference to the third edition of his popular textbook, The Policy Process in the Modern State, Hill has maintained the thematic approach of the first edition, looking in turn at approaches to policy making in Europe, power, bureaucracy and the State, the rationality/incrememtalism debate, the role of organisational theory in policy implementation, street-level bureaucracy and discretion. Already praised as one of the best readers available in thisfield, Michael Hill's new edition will be even more valued as a reference and teaching resource by students and lecturers alike.","2014-07-15","2022-05-23 09:25:07","2022-05-23 09:25:07","","","454","","","","","Policy Process","","","","","Routledge","","en","","","","","Google Books","","Google-Books-ID: QN4FBAAAQBAJ","","","https://books.google.kz/books?id=QN4FBAAAQBAJ","","Political Science / General; Social Science / Sociology / General","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6MS7YMED","book","1871","Creigh, Alfred","History of Washington County: From Its First Settlement to the Present Time : First Under Virginia as Yohogania, Ohio, Or Augusta County Until 1781 : and Subsequently Under Pennsylvania; with Sketches of All the Townships, Boroughs, and Villages, Etc. : and to which is Added a Full Account of the Celebrated Mason and Dixon's Line, the Whiskey Insurrection, Indian Warfare, Traditional and Local Historical Events","","","","","","","1871","2022-05-23 09:24:37","2022-05-23 09:24:37","","","522","","","","","History of Washington County","","","","","B. Singerly, printer","","en","","","","","Google Books","","Google-Books-ID: OrZIAQAAMAAJ","","","https://books.google.kz/books?id=OrZIAQAAMAAJ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZD6ZFUCI","journalArticle","1950","James, Alfred P.","A Political Interpretation of the Whiskey Insurrection","Western Pennsylvania History: 1918-2018","","","","","","1950","2022-05-23 09:29:09","2022-05-23 09:29:09","","90–101","","","","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\seoul\Zotero\storage\HAAF5VFJ\James - 1950 - A Political Interpretation of the Whiskey Insurrec.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"224S5RKK","webpage","","","Elite Conflict and State Formation in 16th- and 17th-Century England and France on JSTOR","","","","","https://www.jstor.org/stable/2095787","","","2022-05-23 09:30:18","2022-05-23 09:30:18","2022-05-23 09:30:18","","","","","","","","","","","","","","","","","","","","","","","C:\Users\seoul\Zotero\storage\Q3I8MEEY\2095787.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
