Abt, Felix
Seth, Michael J.
Sigal, Leon V.
Simon, Herbert Alexander
Skillend, W. E.
Skilling, H. Gordon
Skocpol, Theda
Slater, Dan
Smith, Alastair
Smith, Benjamin
Smith, Hazel
Snyder, Jack
Snyder, Jack L
Snyder, Scott
Solingen, Etel
Song, Joung-Ho
Song, Wonjun
Spiro, David E.
Stallard, Katie
Stam, Allan C.
Stapenhurst, Rick
Starr, Harvey
Stengers, Isabelle
Stepan, Alfred
Stoessinger, John G.
Stolar, Batia Boe
Stone, Dan
Strauss, Julia C.
Stueck, William
Stueck, William Whitney
Suh, Dae-Sook
Svolik, Milan W.
Sylvestre, Peter
Szelenyi, Ivan
Tarrington, Charles W.
Taspinar, Ömer
Teitel, Ruti G.
Tham, Siew Yean
Tilly, Charles
Trãan, Thi Quãe
Tsou, Tang
Turley, William S.
Turmanidze, Koba
Uhalley, Stephen
University of California, Berkeley
Varela, F. J.
Verdier, Thierry
Vittoz, Stanley
Von Bertalanffy, Ludwig
Vyas, Utpal
Walder, Andrew G.
Ward, Artemus
Wasserman, Stanley
Watson, Cynthia Ann
Way, Lucan A.
Weber, Max
Wedeman, Andrew
Welch, Claude
Wells, Samuel F.
Wen, Yin-Kann
Wessel, Martin Schulze
White, Terence Hanbury
Wikipedia, Source
Wit, Joel
Wit, Joel S.
Wolak, Jennifer
Woo, Jongseok
Woo, Park Seung
Wright, Joseph
Wright, Joseph George
Wu, Anne
Wurster, Stefan
Yang, Moon-Soo
Yang, Sung Chul
Yee, Samuel
Yi, Yong-p'il
Yoon, Dae-Kyu
Young, Roland
Yun, Tae-gyu
Zahid, Mohammed
Zeigler, Donald J.
Zelikow, Philip
Zheng, Xiaoshi
Ziegler, Charles E.
Zimmerman, S. Rebecca
Zintl, Tina
lee, Chae-Jin
undefined
von Soest, Christian
